site,baseline_cover,recovery_year,depth,wave,nutrient,coral_juv,init_cover,herb,complex,traj_init_cover,traj_final_cover,traj_mean_cover,traj_growth_rate,traj_time_to_half
Mahe E Patch,19.1875,17,15.3870531555464,15.495849088003,19.7074016865322,18.8825034030204,13.5521075295913,14.8816581773039,15.8223015194815,,,,,
Mahe NW Carbonate,38.875,13,15.4761286093035,15.5719265752685,16.3483643415186,18.6154259642589,13.8315647436692,15.0232329011144,15.8628961156275,,,,,
Mahe NW Granite,10.75,3,15.5652040630605,15.6480040625339,12.9893269965051,18.3483485254973,14.111021957747,15.1648076249249,15.9034907117735,,,,,
Mahe NW Patch,17.25,6,15.6542795168175,15.7240815497994,,18.0812710867358,14.3904791718249,15.3063823487354,15.9440853079195,,,,,
Mahe W Carbonate,34.25,11,15.7433549705745,15.8001590370649,,17.8141936479743,14.6699363859028,15.4479570725459,15.9846799040655,,,,,
Mahe W Granite,19.25,4,15.8324304243315,15.8762365243304,,17.5471162092127,14.9493935999806,15.5895317963564,16.0252745002115,,,,,
Mahe W Patch,18.25,1,15.9215058780885,15.9523140115958,,17.2800387704512,15.2288508140585,15.7311065201669,16.0658690963576,,,,,
Praslin NE Granite,16.375,4,16.0105813318455,16.0283914988613,,17.0129613316897,15.5083080281363,15.8726812439774,16.1064636925036,,,,,
Praslin NE Patch,25.25,20,16.0996567856025,16.1044689861268,,16.7458838929282,15.7877652422142,16.0142559677879,16.1470582886496,,,,,
Praslin SW Granite,17.4375,6,16.1887322393595,16.1805464733923,,16.4788064541666,16.0672224562921,16.1558306915984,16.1876528847956,,,,,
Ste Anne Granite,39.75,23,16.2778076931165,16.2566239606577,,16.2117290154051,16.3466796703699,16.2974054154089,16.2282474809416,,,,,
Ste Anne Patch,54.8125,16,16.3668831468735,16.3327014479232,,15.9446515766436,16.6261368844478,16.4389801392194,16.2688420770877,,,,,
